id,pre1,rec1,pre2,rec2,pre3,rec3,pre4,rec4,pre5,rec5,pre6,rec6,pre7,rec7,pre8,rec8,pre9,rec9,pre10,rec10,pre11,rec11,pre12,rec12,pre13,rec13,pre14,rec14,pre15,rec15,pre16,rec16,pre17,rec17,pre18,rec18,pre19,rec19,pre20,rec20,pre21,rec21,pre22,rec22,pre23,rec23,pre24,rec24,pre25,rec25,pre26,rec26,pre27,rec27,pre28,rec28
10,1.0,0.125,1.0,0.25,1.0,0.375,0.75,0.375,0.6,0.375,0.5,0.375,0.42857142857142855,0.375,0.375,0.375,0.3333333333333333,0.375,0.3,0.375,0.2727272727272727,0.375,0.25,0.375,0.23076923076923078,0.375,0.2857142857142857,0.5,0.3333333333333333,0.625,0.3125,0.625,0.35294117647058826,0.75,0.3333333333333333,0.75,0.3157894736842105,0.75,0.3,0.75,0.2857142857142857,0.75,0.2727272727272727,0.75,0.2608695652173913,0.75,0.25,0.75,0.24,0.75,0.23076923076923078,0.75,0.2222222222222222,0.75,0.21428571428571427,0.75
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,0.16666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.375,0.5,0.4444444444444444,0.6666666666666666,0.4,0.6666666666666666,0.36363636363636365,0.6666666666666666,0.4166666666666667,0.8333333333333334,0.38461538461538464,0.8333333333333334,0.35714285714285715,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.3125,0.8333333333333334,0.29411764705882354,0.8333333333333334,0.2777777777777778,0.8333333333333334,0.2631578947368421,0.8333333333333334,0.3,1.0,0.2857142857142857,1.0,0.2727272727272727,1.0,0.2608695652173913,1.0,0.25,1.0,0.24,1.0,0.23076923076923078,1.0,0.2222222222222222,1.0,0.21428571428571427,1.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.5,0.25,0.6666666666666666,0.5,0.5,0.5,0.4,0.5,0.3333333333333333,0.5,0.2857142857142857,0.5,0.25,0.5,0.2222222222222222,0.5,0.3,0.75,0.2727272727272727,0.75,0.3333333333333333,1.0,0.3076923076923077,1.0,0.2857142857142857,1.0,0.26666666666666666,1.0,0.25,1.0,0.23529411764705882,1.0,0.2222222222222222,1.0,0.21052631578947367,1.0,0.2,1.0,0.19047619047619047,1.0,0.18181818181818182,1.0,0.17391304347826086,1.0,0.16666666666666666,1.0,0.16,1.0,0.15384615384615385,1.0,0.14814814814814814,1.0,0.14285714285714285,1.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.5,0.058823529411764705,0.5,0.05555555555555555,0.5,0.05263157894736842,0.5,0.05,0.5,0.047619047619047616,0.5,0.045454545454545456,0.5,0.043478260869565216,0.5,0.041666666666666664,0.5,0.04,0.5,0.038461538461538464,0.5,0.037037037037037035,0.5,0.03571428571428571,0.5
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.5,0.25,0.6666666666666666,0.5,0.5,0.5,0.4,0.5,0.3333333333333333,0.5,0.2857142857142857,0.5,0.25,0.5,0.2222222222222222,0.5,0.3,0.75,0.2727272727272727,0.75,0.25,0.75,0.23076923076923078,0.75,0.21428571428571427,0.75,0.2,0.75,0.1875,0.75,0.17647058823529413,0.75,0.16666666666666666,0.75,0.15789473684210525,0.75,0.15,0.75,0.14285714285714285,0.75,0.13636363636363635,0.75,0.13043478260869565,0.75,0.125,0.75,0.12,0.75,0.11538461538461539,0.75,0.1111111111111111,0.75,0.10714285714285714,0.75
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.5,0.125,0.6666666666666666,0.25,0.5,0.25,0.4,0.25,0.5,0.375,0.42857142857142855,0.375,0.5,0.5,0.5555555555555556,0.625,0.6,0.75,0.5454545454545454,0.75,0.5,0.75,0.46153846153846156,0.75,0.5,0.875,0.4666666666666667,0.875,0.4375,0.875,0.4117647058823529,0.875,0.3888888888888889,0.875,0.3684210526315789,0.875,0.35,0.875,0.3333333333333333,0.875,0.3181818181818182,0.875,0.30434782608695654,0.875,0.2916666666666667,0.875,0.28,0.875,0.2692307692307692,0.875,0.25925925925925924,0.875,0.25,0.875
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.15384615384615385,0.6666666666666666,0.14285714285714285,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.125,0.6666666666666666,0.11764705882352941,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.10526315789473684,0.6666666666666666,0.1,0.6666666666666666,0.09523809523809523,0.6666666666666666,0.09090909090909091,0.6666666666666666,0.08695652173913043,0.6666666666666666,0.08333333333333333,0.6666666666666666,0.08,0.6666666666666666,0.07692307692307693,0.6666666666666666,0.07407407407407407,0.6666666666666666,0.07142857142857142,0.6666666666666666
21,1.0,0.16666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.75,0.5,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.625,0.8333333333333334,0.6666666666666666,1.0,0.6,1.0,0.5454545454545454,1.0,0.5,1.0,0.46153846153846156,1.0,0.42857142857142855,1.0,0.4,1.0,0.375,1.0,0.35294117647058826,1.0,0.3333333333333333,1.0,0.3157894736842105,1.0,0.3,1.0,0.2857142857142857,1.0,0.2727272727272727,1.0,0.2608695652173913,1.0,0.25,1.0,0.24,1.0,0.23076923076923078,1.0,0.2222222222222222,1.0,0.21428571428571427,1.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.0,0.14285714285714285,1.0,0.2857142857142857,0.6666666666666666,0.2857142857142857,0.5,0.2857142857142857,0.4,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.375,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.3,0.42857142857142855,0.2727272727272727,0.42857142857142855,0.25,0.42857142857142855,0.23076923076923078,0.42857142857142855,0.21428571428571427,0.42857142857142855,0.2,0.42857142857142855,0.1875,0.42857142857142855,0.23529411764705882,0.5714285714285714,0.2222222222222222,0.5714285714285714,0.21052631578947367,0.5714285714285714,0.25,0.7142857142857143,0.23809523809523808,0.7142857142857143,0.22727272727272727,0.7142857142857143,0.21739130434782608,0.7142857142857143,0.20833333333333334,0.7142857142857143,0.2,0.7142857142857143,0.19230769230769232,0.7142857142857143,0.18518518518518517,0.7142857142857143,0.17857142857142858,0.7142857142857143
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1,0.3333333333333333,0.09090909090909091,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.15384615384615385,0.6666666666666666,0.14285714285714285,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.125,0.6666666666666666,0.11764705882352941,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.10526315789473684,0.6666666666666666,0.1,0.6666666666666666,0.09523809523809523,0.6666666666666666,0.09090909090909091,0.6666666666666666,0.08695652173913043,0.6666666666666666,0.08333333333333333,0.6666666666666666,0.08,0.6666666666666666,0.07692307692307693,0.6666666666666666,0.07407407407407407,0.6666666666666666,0.07142857142857142,0.6666666666666666
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.125,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.3,0.5,0.2727272727272727,0.5,0.3333333333333333,0.6666666666666666,0.3076923076923077,0.6666666666666666,0.35714285714285715,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.3125,0.8333333333333334,0.29411764705882354,0.8333333333333334,0.2777777777777778,0.8333333333333334,0.2631578947368421,0.8333333333333334,0.25,0.8333333333333334,0.23809523809523808,0.8333333333333334,0.22727272727272727,0.8333333333333334,0.21739130434782608,0.8333333333333334,0.20833333333333334,0.8333333333333334,0.2,0.8333333333333334,0.19230769230769232,0.8333333333333334,0.18518518518518517,0.8333333333333334,0.17857142857142858,0.8333333333333334
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.09090909090909091,1.0,0.08333333333333333,1.0,0.07692307692307693,1.0,0.07142857142857142,1.0,0.06666666666666667,1.0,0.0625,1.0,0.058823529411764705,1.0,0.05555555555555555,1.0,0.05263157894736842,1.0,0.05,1.0,0.047619047619047616,1.0,0.045454545454545456,1.0,0.043478260869565216,1.0,0.041666666666666664,1.0,0.04,1.0,0.038461538461538464,1.0,0.037037037037037035,1.0,0.03571428571428571,1.0
32,0.0,0.0,0.5,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.75,0.3333333333333333,0.6,0.3333333333333333,0.5,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.5,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5,0.5555555555555556,0.5454545454545454,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.5384615384615384,0.7777777777777778,0.5,0.7777777777777778,0.5333333333333333,0.8888888888888888,0.5,0.8888888888888888,0.47058823529411764,0.8888888888888888,0.4444444444444444,0.8888888888888888,0.42105263157894735,0.8888888888888888,0.4,0.8888888888888888,0.38095238095238093,0.8888888888888888,0.36363636363636365,0.8888888888888888,0.34782608695652173,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.32,0.8888888888888888,0.3076923076923077,0.8888888888888888,0.2962962962962963,0.8888888888888888,0.2857142857142857,0.8888888888888888
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.5,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.25,0.14285714285714285,0.2,0.14285714285714285,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.375,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.3,0.42857142857142855,0.2727272727272727,0.42857142857142855,0.25,0.42857142857142855,0.23076923076923078,0.42857142857142855,0.21428571428571427,0.42857142857142855,0.26666666666666666,0.5714285714285714,0.25,0.5714285714285714,0.29411764705882354,0.7142857142857143,0.3333333333333333,0.8571428571428571,0.3157894736842105,0.8571428571428571,0.3,0.8571428571428571,0.2857142857142857,0.8571428571428571,0.2727272727272727,0.8571428571428571,0.2608695652173913,0.8571428571428571,0.25,0.8571428571428571,0.24,0.8571428571428571,0.23076923076923078,0.8571428571428571,0.2222222222222222,0.8571428571428571,0.21428571428571427,0.8571428571428571
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.0,0.14285714285714285,1.0,0.2857142857142857,1.0,0.42857142857142855,1.0,0.5714285714285714,1.0,0.7142857142857143,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.625,0.7142857142857143,0.6666666666666666,0.8571428571428571,0.6,0.8571428571428571,0.5454545454545454,0.8571428571428571,0.5,0.8571428571428571,0.46153846153846156,0.8571428571428571,0.42857142857142855,0.8571428571428571,0.4,0.8571428571428571,0.375,0.8571428571428571,0.35294117647058826,0.8571428571428571,0.3333333333333333,0.8571428571428571,0.3157894736842105,0.8571428571428571,0.3,0.8571428571428571,0.2857142857142857,0.8571428571428571,0.2727272727272727,0.8571428571428571,0.2608695652173913,0.8571428571428571,0.25,0.8571428571428571,0.24,0.8571428571428571,0.23076923076923078,0.8571428571428571,0.2222222222222222,0.8571428571428571,0.21428571428571427,0.8571428571428571
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1.0,0.16666666666666666,0.5,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.25,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2,0.3333333333333333,0.18181818181818182,0.3333333333333333,0.25,0.5,0.23076923076923078,0.5,0.2857142857142857,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.3125,0.8333333333333334,0.29411764705882354,0.8333333333333334,0.2777777777777778,0.8333333333333334,0.2631578947368421,0.8333333333333334,0.25,0.8333333333333334,0.23809523809523808,0.8333333333333334,0.22727272727272727,0.8333333333333334,0.21739130434782608,0.8333333333333334,0.20833333333333334,0.8333333333333334,0.2,0.8333333333333334,0.19230769230769232,0.8333333333333334,0.18518518518518517,0.8333333333333334,0.17857142857142858,0.8333333333333334
40,1.0,0.5,0.5,0.5,0.6666666666666666,1.0,0.5,1.0,0.4,1.0,0.3333333333333333,1.0,0.2857142857142857,1.0,0.25,1.0,0.2222222222222222,1.0,0.2,1.0,0.18181818181818182,1.0,0.16666666666666666,1.0,0.15384615384615385,1.0,0.14285714285714285,1.0,0.13333333333333333,1.0,0.125,1.0,0.11764705882352941,1.0,0.1111111111111111,1.0,0.10526315789473684,1.0,0.1,1.0,0.09523809523809523,1.0,0.09090909090909091,1.0,0.08695652173913043,1.0,0.08333333333333333,1.0,0.08,1.0,0.07692307692307693,1.0,0.07407407407407407,1.0,0.07142857142857142,1.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1.0,0.125,0.5,0.125,0.6666666666666666,0.25,0.75,0.375,0.6,0.375,0.5,0.375,0.42857142857142855,0.375,0.375,0.375,0.3333333333333333,0.375,0.3,0.375,0.36363636363636365,0.5,0.4166666666666667,0.625,0.46153846153846156,0.75,0.42857142857142855,0.75,0.4,0.75,0.375,0.75,0.35294117647058826,0.75,0.3333333333333333,0.75,0.3684210526315789,0.875,0.35,0.875,0.3333333333333333,0.875,0.3181818181818182,0.875,0.30434782608695654,0.875,0.2916666666666667,0.875,0.28,0.875,0.2692307692307692,0.875,0.25925925925925924,0.875,0.25,0.875
43,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.2,0.25,0.16666666666666666,0.25,0.14285714285714285,0.25,0.125,0.25,0.1111111111111111,0.25,0.1,0.25,0.18181818181818182,0.5,0.25,0.75,0.23076923076923078,0.75,0.21428571428571427,0.75,0.2,0.75,0.1875,0.75,0.17647058823529413,0.75,0.16666666666666666,0.75,0.15789473684210525,0.75,0.15,0.75,0.14285714285714285,0.75,0.13636363636363635,0.75,0.13043478260869565,0.75,0.125,0.75,0.12,0.75,0.11538461538461539,0.75,0.1111111111111111,0.75,0.10714285714285714,0.75
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
